runId,전략,코인페어,타임프레임,시작일,종료일,초기자금,슬리피지(%),수수료(%),Walk-Forward,WF학습종료일,WF테스트종료일,세그먼트,총수익률(%),승률(%),최대낙폭(%),샤프비율,소르티노비율,칼마비율,손익비,회복계수,총거래,승리거래,패배거래,평균수익(%),평균손실(%),최대연속손실,생성일시
162,COMPOSITE_BREAKOUT,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,14.6100,13.64,-19.9900,0.2484,0.8009,0.1704,7.3114,0.7309,66,9,57,12.2100,-1.6700,14,2026-04-24 09:33:12
161,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,41.5000,13.33,-25.4400,0.4780,1.6915,0.3554,8.9717,1.6313,120,16,104,9.5100,-1.0600,21,2026-04-24 09:32:01
160,FAIR_VALUE_GAP,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-58.1400,16.39,-67.3600,-0.3354,-0.7783,-0.2757,4.4839,-0.8631,958,157,801,2.7800,-0.6200,21,2026-04-24 09:31:20
159,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,24.6800,12.68,-35.4500,0.3382,1.1105,0.1595,8.3093,0.6962,142,18,124,8.0600,-0.9700,26,2026-04-24 09:31:09
158,COMPOSITE_BREAKOUT,KRW-USDT,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-4.9600,0.00,-4.9600,-2.6916,-2.6684,-0.8731,0.0000,-1.0000,9,0,9,0.0000,-0.5500,9,2026-04-24 09:30:32
157,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-USDT,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-4.8500,6.45,-12.1500,-0.3706,-1.0063,-0.2303,10.1607,-0.3992,31,2,29,5.6900,-0.5600,23,2026-04-24 09:30:10
156,FAIR_VALUE_GAP,KRW-USDT,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-50.2600,8.81,-50.2600,-6.8890,-6.9445,-0.6430,1.2564,-1.0000,159,14,145,0.4900,-0.3900,42,2026-04-24 09:29:55
155,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-USDT,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-9.6700,5.56,-13.2700,-0.8545,-2.0674,-0.4208,7.7308,-0.7287,36,2,34,4.0200,-0.5200,26,2026-04-24 09:29:50
154,COMPOSITE_BREAKOUT,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,55.6700,17.74,-20.4500,0.5845,2.6871,0.5548,7.5114,2.7222,62,11,51,13.2200,-1.7600,20,2026-04-24 09:29:36
153,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,8.0100,13.25,-31.0600,0.1900,0.4924,0.0616,6.8818,0.2579,151,20,131,7.5700,-1.1000,23,2026-04-24 09:28:21
