runId,전략,코인페어,타임프레임,시작일,종료일,초기자금,슬리피지(%),수수료(%),Walk-Forward,WF학습종료일,WF테스트종료일,세그먼트,총수익률(%),승률(%),최대낙폭(%),샤프비율,소르티노비율,칼마비율,손익비,회복계수,총거래,승리거래,패배거래,평균수익(%),평균손실(%),최대연속손실,생성일시
432,COMPOSITE_REGIME_ROUTER,KRW-XRP,M15,2022-01-01 00:00:00,2026-04-30 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-35.2000,9.96,-41.6000,-0.6403,-1.5618,-0.2487,6.0192,-0.8462,231,23,208,3.1300,-0.5200,32,2026-04-30 10:55:01
431,COMPOSITE_REGIME_ROUTER,KRW-USDT,M15,2022-01-01 00:00:00,2026-04-30 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-26.8300,10.23,-26.8300,-5.3644,-5.7499,-0.6944,1.1795,-1.0000,88,9,79,0.4600,-0.3900,20,2026-04-30 10:53:28
430,COMPOSITE_REGIME_ROUTER,KRW-SUPER,M15,2022-01-01 00:00:00,2026-04-30 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-3.8600,9.09,-8.6800,-0.7906,-1.4650,-1.8941,6.5091,-0.4447,11,1,10,7.1600,-1.1000,6,2026-04-30 10:52:51
429,COMPOSITE_REGIME_ROUTER,KRW-SOL,M15,2022-01-01 00:00:00,2026-04-30 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-60.3800,7.50,-66.4500,-1.3093,-2.6042,-0.3181,7.2456,-0.9087,280,21,259,4.1300,-0.5700,41,2026-04-30 10:52:45
428,COMPOSITE_REGIME_ROUTER,KRW-KERNEL,M15,2022-01-01 00:00:00,2026-04-30 00:00:00,10000000.00,0.100,0.050,false,,,FULL,3.9600,16.67,-2.9800,1.3489,5.1212,11.5436,9.9375,1.3289,6,1,5,7.9500,-0.8000,3,2026-04-30 10:51:07
427,COMPOSITE_REGIME_ROUTER,KRW-IP,M15,2022-01-01 00:00:00,2026-04-30 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-24.3700,4.00,-29.5600,-3.0230,-3.5591,-1.7756,5.8209,-0.8244,25,1,24,7.8000,-1.3400,23,2026-04-30 10:51:03
426,COMPOSITE_REGIME_ROUTER,KRW-FLOCK,M15,2022-01-01 00:00:00,2026-04-30 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-4.8700,12.50,-12.9900,-0.3754,-0.9195,-1.4691,5.7500,-0.3749,24,3,21,7.5900,-1.3200,10,2026-04-30 10:50:54
425,COMPOSITE_REGIME_ROUTER,KRW-ETH,M15,2022-01-01 00:00:00,2026-04-30 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-45.0900,7.22,-58.0800,-0.8977,-2.2600,-0.2437,7.4091,-0.7763,263,19,244,3.2600,-0.4400,58,2026-04-30 10:50:46
424,COMPOSITE_REGIME_ROUTER,KRW-DOGE,M15,2022-01-01 00:00:00,2026-04-30 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-61.6300,7.77,-68.5800,-0.8537,-2.1909,-0.3145,8.1607,-0.8987,373,29,344,4.5700,-0.5600,65,2026-04-30 10:48:54
423,COMPOSITE_REGIME_ROUTER,KRW-CHZ,M15,2022-01-01 00:00:00,2026-04-30 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-68.4400,7.23,-72.1700,-1.3678,-2.7170,-0.3517,7.7321,-0.9483,332,24,308,4.3300,-0.5600,107,2026-04-30 10:47:19
