tradeId,runId,전략,코인페어,타임프레임,방향,체결가,수량,수수료,슬리피지,손익,누적손익,신호이유,시장레짐,체결일시
71523,432,COMPOSITE_REGIME_ROUTER,KRW-XRP,M15,BUY,1036.03500000,7729.46859903,4004.00000000,0.10000000,0E-8,0E-8,[TREND] STRONG_BUY score=0.62 [MACD:BUY(94) SUPERTREND:BUY(50) GRID:SELL(100)],TREND,2022-01-02 05:15:00
71524,432,COMPOSITE_REGIME_ROUTER,KRW-XRP,M15,SELL,1025.88309000,7729.46859903,3964.76556522,0.10000000,-86437.63513040,-86437.63513040,손절 — 저가 1025.00000000 ≤ SL 1026.91000000,TREND,2022-01-02 09:00:00
67025,416,COMPOSITE_REGIME_ROUTER,KRW-AAVE,M15,BUY,345144.80000000,23.20185615,4004.00000026,0.10000000,0E-8,0E-8,[TREND] STRONG_BUY score=0.65 [MACD:BUY(100) SUPERTREND:BUY(50) GRID:HOLD(0)],TREND,2022-01-03 19:15:00
67026,416,COMPOSITE_REGIME_ROUTER,KRW-AAVE,M15,SELL,342625.03200000,23.20185615,3974.76835293,0.10000000,-66442.06302056,-66442.06302056,손절 — 저가 342000.00000000 ≤ SL 342968.00000000,TREND,2022-01-03 20:30:00
71525,432,COMPOSITE_REGIME_ROUTER,KRW-XRP,M15,BUY,1021.02000000,7775.34313725,3969.39042500,0.10000000,0E-8,-86437.63513040,[TREND] BUY score=0.50 [MACD:BUY(100) SUPERTREND:SELL(25) GRID:HOLD(0)],TREND,2022-01-04 23:00:00
71526,432,COMPOSITE_REGIME_ROUTER,KRW-XRP,M15,SELL,1015.92306000,7775.34313725,3949.57519627,0.10000000,-47549.42307125,-133987.05820164,손절 — 저가 1015.00000000 ≤ SL 1016.94000000,TREND,2022-01-05 00:45:00
60983,319,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-CHZ,H1,BUY,360.36000000,22222.22222222,4004.00000000,0.10000000,0E-8,0E-8,BUY score=0.46 [MACD:HOLD(0) VWAP:BUY(100) GRID:BUY(80)],TREND,2022-01-06 05:00:00
60984,319,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-CHZ,H1,SELL,342.62503200,22222.22222222,3806.94480000,0.10000000,-401921.34479996,-401921.34479996,손절 — 저가 328.00000000 ≤ SL 342.96800000,TREND,2022-01-06 07:00:00
67459,417,COMPOSITE_REGIME_ROUTER,KRW-ADA,M15,BUY,1561.56000000,5128.20512821,4004.00000000,0.10000000,0E-8,0E-8,[TREND] STRONG_BUY score=0.65 [MACD:BUY(100) SUPERTREND:BUY(50) GRID:SELL(70)],TREND,2022-01-07 05:30:00
67460,417,COMPOSITE_REGIME_ROUTER,KRW-ADA,M15,SELL,1553.76468000,5128.20512821,3984.01200000,0.10000000,-47964.01200004,-47964.01200004,손절 — 저가 1555.00000000 ≤ SL 1555.32000000,TREND,2022-01-07 10:15:00
