runId,전략,코인페어,타임프레임,시작일,종료일,초기자금,슬리피지(%),수수료(%),Walk-Forward,WF학습종료일,WF테스트종료일,세그먼트,총수익률(%),승률(%),최대낙폭(%),샤프비율,소르티노비율,칼마비율,손익비,회복계수,총거래,승리거래,패배거래,평균수익(%),평균손실(%),최대연속손실,생성일시
102,FAIR_VALUE_GAP,KRW-XRP,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-99.9,15.76,-99.9,-3.7107,-6.0854,-0.8054,3.1111,-1,2824,445,2379,0.28,-0.09,35,2026-04-23 19:22
101,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-XRP,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-60.64,8.72,-66.61,-1.1339,-2.6471,-0.298,6.0513,-0.9104,413,36,377,2.36,-0.39,60,2026-04-23 19:22
100,FAIR_VALUE_GAP,KRW-XLM,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-99.94,12.12,-99.94,-4.825,-7.3157,-0.8732,1.8571,-1,2162,262,1900,0.13,-0.07,42,2026-04-23 19:19
99,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-XLM,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-92.42,7.14,-93.89,-2.4784,-4.1754,-0.4879,5.6154,-0.9843,686,49,637,1.46,-0.26,49,2026-04-23 19:18
98,FAIR_VALUE_GAP,KRW-USDT,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-53.28,11.52,-53.28,-5.3535,-6.7556,-0.647,1.5714,-1,217,25,192,0.55,-0.35,42,2026-04-23 19:16
97,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-USDT,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-43.79,12.71,-44.11,-5.7714,-6.3317,-0.6233,1.3714,-0.9927,181,23,158,0.48,-0.35,19,2026-04-23 19:15
96,FAIR_VALUE_GAP,KRW-SUPER,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-86.5,15.54,-88.35,-4.3162,-7.5552,-1.1128,3.5366,-0.9791,727,113,614,1.45,-0.41,44,2026-04-23 19:14
95,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-SUPER,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,19.13,8.89,-21.67,0.8238,4.3515,2.5339,14.7619,0.8828,45,4,41,15.5,-1.05,24,2026-04-23 19:14
94,FAIR_VALUE_GAP,KRW-SOL,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-99.94,16.78,-99.94,-4.6312,-6.5451,-0.9106,2.625,-1,2998,503,2495,0.21,-0.08,41,2026-04-23 19:14
93,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-SOL,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-79.63,7.24,-79.63,-1.976,-3.5642,-0.395,5.5429,-1,442,32,410,1.94,-0.35,37,2026-04-23 19:13
92,FAIR_VALUE_GAP,KRW-SENT,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-22.82,12.81,-47.48,-1.0361,-1.9146,-1.6934,5.9381,-0.4806,203,26,177,5.76,-0.97,23,2026-04-23 19:10
91,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-SENT,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,5.46,16.67,-5.29,1.4653,4.3524,7.9962,7.8247,1.0321,12,2,10,7.59,-0.97,5,2026-04-23 19:10
90,FAIR_VALUE_GAP,KRW-NEWT,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-97.13,14.88,-97.15,-6.5126,-8.9785,-1.0199,2.1579,-0.9998,954,142,812,0.41,-0.19,49,2026-04-23 19:10
89,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-NEWT,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-22.93,5.81,-23.53,-1.3114,-2.5741,-1.2533,10.0789,-0.9745,86,5,81,7.66,-0.76,21,2026-04-23 19:10
88,FAIR_VALUE_GAP,KRW-IP,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-92.21,14.6,-92.67,-4.8817,-7.522,-1.0596,4.0227,-0.995,767,112,655,1.77,-0.44,29,2026-04-23 19:09
87,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-IP,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-26.6,6,-34.25,-1.9143,-2.8667,-1.2452,6.9412,-0.7766,50,3,47,7.08,-1.02,34,2026-04-23 19:09
86,FAIR_VALUE_GAP,KRW-FLOCK,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-94.05,13.29,-94.31,-6.3585,-8.4933,-1.0543,3.5484,-0.9972,775,103,672,1.1,-0.31,24,2026-04-23 19:09
85,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-FLOCK,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-18.09,9.88,-25.94,-0.9337,-1.9789,-1.2948,7.0467,-0.6974,81,8,73,7.54,-1.07,19,2026-04-23 19:09
84,FAIR_VALUE_GAP,KRW-ETH,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-99.94,15.93,-99.94,-5.7362,-7.4838,-0.8402,2.5,-1,2775,442,2333,0.2,-0.08,33,2026-04-23 19:08
83,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-ETH,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-76.54,6.18,-77.74,-2.0497,-3.9275,-0.3772,6.9375,-0.9846,469,29,440,2.22,-0.32,80,2026-04-23 19:07
82,FAIR_VALUE_GAP,KRW-DOGE,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-99.94,15.1,-99.94,-3.9682,-5.9066,-0.8261,2.75,-1,2583,390,2193,0.22,-0.08,57,2026-04-23 19:04
81,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-DOGE,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-92.5,8.5,-93.33,-2.1565,-4.0837,-0.4901,5.6552,-0.9911,729,62,667,1.64,-0.29,50,2026-04-23 19:03
80,FAIR_VALUE_GAP,KRW-CHZ,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-99.94,14.04,-99.94,-5.973,-7.8609,-0.9241,2.9,-1,2072,291,1781,0.29,-0.1,39,2026-04-23 19:01
79,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-CHZ,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-89.52,6.55,-90.27,-2.1686,-3.9117,-0.4596,7.5882,-0.9917,595,39,556,2.58,-0.34,66,2026-04-23 19:00
78,FAIR_VALUE_GAP,KRW-CFG,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-4.2,12.24,-28.81,-0.0821,-0.1437,-1.4107,6.8783,-0.1458,98,12,86,7.91,-1.15,21,2026-04-23 18:57
77,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-CFG,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,30.79,27.27,-1.9,5.4227,51.6029,3066.519,19.2097,16.2053,11,3,8,11.91,-0.62,4,2026-04-23 18:57
76,FAIR_VALUE_GAP,KRW-BTC,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-99.85,16.71,-99.85,-6.1447,-7.8975,-0.7856,2,-1,2585,432,2153,0.16,-0.08,39,2026-04-23 18:57
75,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-BTC,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-40.4,8.45,-44.78,-0.8039,-2.0207,-0.26,7.5208,-0.9022,296,25,271,3.61,-0.48,31,2026-04-23 18:56
74,FAIR_VALUE_GAP,KRW-BLUR,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-99.94,13.58,-99.94,-5.8332,-7.9063,-0.9633,3.3636,-1,2157,293,1864,0.37,-0.11,50,2026-04-23 18:53
73,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-BLUR,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-83.57,3.53,-84.25,-3.2188,-5.1218,-0.5779,10.0909,-0.9919,312,11,301,4.44,-0.44,88,2026-04-23 18:53
72,FAIR_VALUE_GAP,KRW-BIO,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-86.5,15.23,-86.5,-5.1494,-7.2855,-1.1444,3.6279,-1,683,104,579,1.56,-0.43,35,2026-04-23 18:51
71,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-BIO,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-19.41,7.14,-28.55,-1.817,-3.594,-1.6005,7.4052,-0.6799,42,3,39,8.59,-1.16,19,2026-04-23 18:51
70,FAIR_VALUE_GAP,KRW-AXL,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-88.58,16.05,-89.93,-2.7475,-5.3103,-1.0389,2.9545,-0.985,1053,169,884,0.65,-0.22,24,2026-04-23 18:51
69,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-AXL,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,22.06,8.57,-18.83,0.8812,3.7519,1.5325,15.3418,1.1715,70,6,64,12.12,-0.79,30,2026-04-23 18:50
68,FAIR_VALUE_GAP,KRW-ADA,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-99.94,14.59,-99.94,-4.113,-6.8098,-0.8748,3.2222,-1,2708,395,2313,0.29,-0.09,35,2026-04-23 18:50
67,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-ADA,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-73.99,7.85,-75.22,-1.489,-3.1068,-0.3631,6.8636,-0.9836,433,34,399,3.02,-0.44,41,2026-04-23 18:49
66,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-XRP,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-65.43,8.45,-71.85,-1.182,-2.659,-0.3101,5.9394,-0.9106,485,41,444,1.96,-0.33,70,2026-04-23 17:30
65,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-XLM,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-95.55,6.68,-96.37,-2.6709,-4.5808,-0.5419,5.9545,-0.9915,793,53,740,1.31,-0.22,52,2026-04-23 17:28
64,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-USDT,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-46.76,12.82,-47.07,-6.4438,-6.8589,-0.6301,1.2121,-0.9934,195,25,170,0.4,-0.33,20,2026-04-23 17:25
63,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-SUPER,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-13.39,7.14,-17.82,-1.1426,-2.0964,-1.6848,8.1648,-0.7514,42,3,39,7.43,-0.91,19,2026-04-23 17:24
62,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-SOL,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-78.36,8.16,-78.36,-1.5994,-3.1127,-0.3887,6.3143,-1,539,44,495,2.21,-0.35,43,2026-04-23 17:24
61,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-SENT,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,9.49,18.18,-4.18,2.7369,16.9477,24.4615,11.169,2.2703,11,2,9,7.93,-0.71,7,2026-04-23 17:22
60,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-NEWT,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-14.28,8.08,-19.82,-0.5743,-1.2269,-0.9486,9.1013,-0.7205,99,8,91,7.19,-0.79,23,2026-04-23 17:21
59,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-IP,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-25.25,7.27,-34.58,-1.5864,-2.5023,-1.1784,6.7714,-0.7302,55,4,51,7.11,-1.05,26,2026-04-23 17:21
58,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-FLOCK,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-21.37,10.59,-29.51,-1.1565,-2.3097,-1.3912,6.2661,-0.7242,85,9,76,6.83,-1.09,21,2026-04-23 17:21
57,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-ETH,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-81.99,5.79,-82.78,-2.1448,-4.2515,-0.4066,7.0345,-0.9905,535,31,504,2.04,-0.29,92,2026-04-23 17:20
56,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-DOGE,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-94.23,8.5,-94.85,-1.9997,-3.9213,-0.5167,6.037,-0.9935,847,72,775,1.63,-0.27,58,2026-04-23 17:17
55,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-CHZ,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-95.11,5.84,-95.32,-2.8832,-4.7559,-0.5367,7.1538,-0.9978,685,40,645,1.86,-0.26,77,2026-04-23 17:15
54,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-CFG,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,21.31,22.22,-1.9,3.9761,33.835,739.9944,18.9275,11.2158,9,2,7,13.06,-0.69,4,2026-04-23 17:12
53,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-BTC,M15,2022-01-01 0:00,2026-04-23 0:00,10000000,0.1,0.05,FALSE,,,FULL,-53.18,8.19,-58.5,-1.1594,-2.507,-0.2837,7.1739,-0.9091,342,28,314,3.3,-0.46,38,2026-04-23 17:12
