runId,전략,코인페어,타임프레임,시작일,종료일,초기자금,슬리피지(%),수수료(%),Walk-Forward,WF학습종료일,WF테스트종료일,세그먼트,총수익률(%),승률(%),최대낙폭(%),샤프비율,소르티노비율,칼마비율,손익비,회복계수,총거래,승리거래,패배거래,평균수익(%),평균손실(%),최대연속손실,생성일시
370,COMPOSITE_BREAKOUT,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-1.6000,11.48,-30.8000,0.0718,0.2243,-0.0137,7.5677,-0.0519,61,7,54,11.7300,-1.5500,23,2026-04-24 11:28:16
369,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-10.3500,11.29,-32.3800,-0.0811,-0.2028,-0.0872,7.0842,-0.3196,124,14,110,6.7300,-0.9500,30,2026-04-24 11:27:36
368,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,1.0400,11.54,-24.2200,0.0949,0.2489,0.0112,7.7184,0.0429,104,12,92,7.9500,-1.0300,26,2026-04-24 11:27:15
367,COMPOSITE_BREAKOUT_ICHIMOKU,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-1.6000,11.48,-30.8000,0.0718,0.2243,-0.0137,7.5677,-0.0519,61,7,54,11.7300,-1.5500,23,2026-04-24 11:26:53
366,COMPOSITE_BREAKOUT,KRW-USDT,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-4.4500,0.00,-4.4500,-2.8970,-2.8687,-1.1396,0.0000,-1.0000,8,0,8,0.0000,-0.5600,8,2026-04-24 11:26:15
365,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-USDT,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-6.5800,6.90,-10.3000,-0.6323,-1.6246,-0.4519,7.4444,-0.6388,29,2,27,4.0200,-0.5400,19,2026-04-24 11:26:04
364,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-USDT,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-1.6000,8.33,-9.1400,-0.1092,-0.3174,-0.1226,9.6441,-0.1751,24,2,22,5.6900,-0.5900,16,2026-04-24 11:25:57
363,COMPOSITE_BREAKOUT_ICHIMOKU,KRW-USDT,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-4.4500,0.00,-4.4500,-2.8970,-2.8687,-1.1396,0.0000,-1.0000,8,0,8,0.0000,-0.5600,8,2026-04-24 11:25:49
362,COMPOSITE_BREAKOUT,KRW-SUPER,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,42.1600,50.00,-12.3700,2.1752,9.4381,75.3959,3.3551,3.4082,6,3,3,20.0300,-5.9700,2,2026-04-24 11:25:38
361,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-SUPER,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-6.3400,0.00,-6.3400,-6.5256,-6.3262,-11.9098,0.0000,-1.0000,3,0,3,0.0000,-2.1100,3,2026-04-24 11:25:35
360,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-SUPER,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-6.3400,0.00,-6.3400,-6.5256,-6.3262,-11.9098,0.0000,-1.0000,3,0,3,0.0000,-2.1100,3,2026-04-24 11:25:34
359,COMPOSITE_BREAKOUT_ICHIMOKU,KRW-SUPER,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,42.1600,50.00,-12.3700,2.1752,9.4381,75.3959,3.3551,3.4082,6,3,3,20.0300,-5.9700,2,2026-04-24 11:25:33
358,COMPOSITE_BREAKOUT,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,62.7900,18.97,-20.4500,0.6558,3.1155,0.6589,7.5114,3.0704,58,11,47,13.2200,-1.7600,20,2026-04-24 11:25:30
357,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,42.3200,15.58,-22.0800,0.5280,1.4721,0.4465,6.7444,1.9167,154,24,130,8.9700,-1.3300,23,2026-04-24 11:24:50
356,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,17.3000,14.63,-31.0900,0.3114,0.8157,0.1403,6.6639,0.5564,123,18,105,7.9300,-1.1900,19,2026-04-24 11:24:27
355,COMPOSITE_BREAKOUT_ICHIMOKU,KRW-SOL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,62.7900,18.97,-20.4500,0.6558,3.1155,0.6589,7.5114,3.0704,58,11,47,13.2200,-1.7600,20,2026-04-24 11:24:02
354,COMPOSITE_BREAKOUT,KRW-MOVE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-6.4200,27.27,-20.3900,-0.1827,-0.2980,-0.3483,2.2123,-0.3149,11,3,8,10.4200,-4.7100,5,2026-04-24 11:23:21
353,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-MOVE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-7.6000,12.50,-16.4300,-0.3926,-0.7544,-0.4777,5.3221,-0.4626,24,3,21,7.9300,-1.4900,8,2026-04-24 11:23:12
352,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-MOVE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-0.3900,16.67,-12.6500,0.0593,0.1289,-0.0386,4.9024,-0.0308,18,3,15,8.0400,-1.6400,7,2026-04-24 11:23:06
351,COMPOSITE_BREAKOUT_ICHIMOKU,KRW-MOVE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-6.4200,27.27,-20.3900,-0.1827,-0.2980,-0.3483,2.2123,-0.3149,11,3,8,10.4200,-4.7100,5,2026-04-24 11:23:01
350,COMPOSITE_BREAKOUT,KRW-KERNEL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-4.1600,0.00,-4.1600,0.0000,0.0000,-0.9995,0.0000,-1.0000,1,0,1,0.0000,-4.1600,1,2026-04-24 11:22:52
349,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-KERNEL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-9.6900,0.00,-9.6900,-5.1346,-5.0097,-5.8068,0.0000,-1.0000,5,0,5,0.0000,-1.9400,5,2026-04-24 11:22:50
348,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-KERNEL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-8.7900,0.00,-8.7900,-4.1749,-4.1216,-5.9841,0.0000,-1.0000,4,0,4,0.0000,-2.2000,4,2026-04-24 11:22:49
347,COMPOSITE_BREAKOUT_ICHIMOKU,KRW-KERNEL,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-4.1600,0.00,-4.1600,0.0000,0.0000,-0.9995,0.0000,-1.0000,1,0,1,0.0000,-4.1600,1,2026-04-24 11:22:49
346,COMPOSITE_BREAKOUT,KRW-IP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,7.9800,33.33,-14.5200,0.7271,1.4510,1.6290,2.6434,0.5496,9,3,6,10.9700,-4.1500,3,2026-04-24 11:22:47
345,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-IP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,4.4500,14.29,-9.5500,0.7984,2.5502,2.9506,8.4130,0.4660,7,1,6,15.4800,-1.8400,6,2026-04-24 11:22:44
344,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-IP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,5.1300,16.67,-8.9700,0.8916,2.8677,3.6783,7.4783,0.5719,6,1,5,15.4800,-2.0700,5,2026-04-24 11:22:42
343,COMPOSITE_BREAKOUT_ICHIMOKU,KRW-IP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,7.9800,33.33,-14.5200,0.7271,1.4510,1.6290,2.6434,0.5496,9,3,6,10.9700,-4.1500,3,2026-04-24 11:22:40
