포지션ID,세션ID,전략,코인페어,방향,진입가,평균가,수량,투자KRW,실현손익,포지션수수료,수익률(%),상태,시장레짐,손절가,익절가,진입일시,청산일시
794,135,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-DOGE,BUY,146.00000000,146.00000002,54.79452054,8000.00000000,0E-8,0.00,0.00,OPEN,RANGE,138.70000000,160.60000000,2026-04-24 15:21:37,
791,null,,KRW-XRP,BUY,2110.00000000,2110.00000369,3.78995260,7996.80000000,-3.99840000,4.00,-0.05,CLOSED,RANGE,2004.50000000,2321.00000000,2026-04-23 23:25:35,2026-04-24 14:38:17
783,null,,KRW-XRP,BUY,2144.00000000,2145.00000552,3.72960372,8000.00000000,-4.00000000,4.00,-0.05,CLOSED,RANGE,2036.80000000,2358.40000000,2026-04-22 14:17:28,2026-04-23 07:26:54
782,null,,KRW-ETH,BUY,3521000.00000000,3521002.78159220,0.00227208,8000.00000000,-4.00000000,4.00,-0.05,CLOSED,RANGE,3344950.00000000,3873100.00000000,2026-04-22 14:17:28,2026-04-23 04:01:44
781,null,,KRW-DOGE,BUY,143.00000000,143.00000001,55.85454545,7987.20000000,-3.99360000,3.99,-0.05,CLOSED,RANGE,135.85000000,157.30000000,2026-04-22 14:15:28,2026-04-23 00:36:30
777,null,,KRW-DOGE,BUY,141.00000000,141.00000002,56.66950354,7990.40000000,-3.99520000,4.00,-0.05,CLOSED,RANGE,133.95000000,155.10000000,2026-04-22 08:39:05,2026-04-22 10:56:22
771,null,,KRW-SOL,BUY,126800.00000000,126800.00532560,0.06309148,8000.00000000,-4.00000000,4.00,-0.05,CLOSED,RANGE,120460.00000000,139480.00000000,2026-04-21 15:44:25,2026-04-23 04:00:44
768,null,,KRW-DOGE,BUY,142.00000000,142.00000002,56.29295774,7993.60000000,-3.99680000,4.00,-0.05,CLOSED,RANGE,134.90000000,156.20000000,2026-04-21 10:10:03,2026-04-21 11:12:14
765,null,,KRW-DOGE,BUY,141.00000000,141.00000002,56.71489361,7996.80000000,-3.99840000,4.00,-0.05,CLOSED,RANGE,133.95000000,155.10000000,2026-04-21 01:59:30,2026-04-21 09:13:07
758,null,,KRW-BTC,BUY,112148000.00000000,112107623.31838565,0.00007136,8000.00000000,-4.00000000,4.00,-0.05,CLOSED,RANGE,106540600.00000000,123362800.00000000,2026-04-20 16:24:49,2026-04-23 19:06:32
754,null,,KRW-DOGE,BUY,141.00000000,141.00000001,56.73758865,8000.00000000,-4.00000000,4.00,-0.05,CLOSED,RANGE,133.95000000,155.10000000,2026-04-20 15:43:46,2026-04-21 01:48:38
