===== M1 스캘핑 엣지 실험 (fee=0.05% x2, slippage=0.1% x2) =====

-- KRW-BTC : M1 캔들 7200개 (2026-06-26T07:39:00Z ~ 2026-07-01T07:38:00Z) --
   전략                    거래수      승률%      총수익률%       평균익%       평균손%       MDD%
   EMA_CROSS              33    12.12     -7.880      0.170     -0.290     -7.880
   RSI                    17    11.76     -5.370      0.090     -0.370     -5.370
   MACD                   24     8.33     -7.880      0.100     -0.370     -7.930
   SUPERTREND             94     7.45    -23.580      0.190     -0.290    -23.800
   ATR_BREAKOUT           41     4.88    -12.780      0.140     -0.330    -13.040
   VOLUME_DELTA           67    11.94    -16.080      0.190     -0.300    -16.410
   VWAP                    0     0.00      0.000      0.000      0.000      0.000
   BOLLINGER              19     5.26     -5.450      0.170     -0.310     -5.450
   STOCHASTIC_RSI         17     0.00     -6.510      0.000     -0.380     -6.510

-- KRW-ETH : M1 캔들 7193개 (2026-06-26T07:39:00Z ~ 2026-07-01T07:38:00Z) --
   전략                    거래수      승률%      총수익률%       평균익%       평균손%       MDD%
   EMA_CROSS              39    10.26    -10.090      0.530     -0.350    -10.110
   RSI                    11     9.09     -3.540      0.850     -0.440     -3.540
   MACD                   24    12.50     -7.000      0.720     -0.440     -7.540
   SUPERTREND             92     8.70    -24.770      0.360     -0.330    -24.890
   ATR_BREAKOUT           43     6.98    -14.570      0.690     -0.420    -14.570
   VOLUME_DELTA           80     5.00    -22.020      0.660     -0.320    -22.020
   VWAP                    0     0.00      0.000      0.000      0.000      0.000
   BOLLINGER              25     4.00     -6.420      0.190     -0.280     -6.420
   STOCHASTIC_RSI          6     0.00     -2.640      0.000     -0.440     -2.640

-- KRW-XRP : M1 캔들 7200개 (2026-06-26T07:39:00Z ~ 2026-07-01T07:38:00Z) --
   전략                    거래수      승률%      총수익률%       평균익%       평균손%       MDD%
   EMA_CROSS              34    11.76     -9.780      0.310     -0.370    -10.020
   RSI                     7     0.00     -3.360      0.000     -0.480     -3.360
   MACD                   32     9.38    -11.110      0.420     -0.430    -11.110
   SUPERTREND             85    14.12    -24.660      0.190     -0.370    -24.660
   ATR_BREAKOUT           32     9.38    -10.510      0.370     -0.400    -10.510
   VOLUME_DELTA           76     9.21    -21.460      0.470     -0.360    -21.460
   VWAP                    0     0.00      0.000      0.000      0.000      0.000
   BOLLINGER              18    16.67     -4.480      0.230     -0.340     -4.560
   STOCHASTIC_RSI         10    10.00     -3.690      0.370     -0.450     -3.690

-- KRW-SOL : M1 캔들 7145개 (2026-06-26T07:39:00Z ~ 2026-07-01T07:38:00Z) --
   전략                    거래수      승률%      총수익률%       평균익%       평균손%       MDD%
   EMA_CROSS              36    16.67     -7.570      0.560     -0.360     -9.590
   RSI                     7    14.29     -2.950      0.260     -0.540     -2.950
   MACD                   34    11.76    -12.510      0.300     -0.460    -12.510
   SUPERTREND            113    13.27    -29.490      0.350     -0.350    -29.790
   ATR_BREAKOUT           45     8.89    -15.280      0.390     -0.410    -15.440
   VOLUME_DELTA           68    22.06    -13.310      0.450     -0.380    -13.310
   VWAP                    2     0.00     -0.810      0.000     -0.400     -0.810
   BOLLINGER              25    24.00     -6.780      0.100     -0.390     -6.780
   STOCHASTIC_RSI          8     0.00     -3.820      0.000     -0.480     -3.820
