runId,전략,코인페어,타임프레임,전체시작일,전체종료일,학습기간종료일,테스트기간종료일,초기자금,세그먼트,총수익률(%),승률(%),최대낙폭(%),샤프비율,소르티노비율,칼마비율,총거래,승리거래,패배거래,평균수익(%),평균손실(%),생성일시
182,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2022-08-05 21:00:00,,1000000.00,W0_IN,28.84,21.74,-3.67,1.7867,7.2665,16.2213,23,,,,,2026-04-24 10:07:44
182,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2022-08-05 21:00:00,2022-11-06 19:00:00,1000000.00,W0_OUT,24.59,33.33,-5.72,2.0759,13.527,32.7716,9,,,,,2026-04-24 10:07:44
182,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2023-06-11 19:00:00,,1000000.00,W1_IN,-12.46,5.0,-19.92,-1.1886,-2.6482,-1.1381,40,,,,,2026-04-24 10:07:44
182,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2023-06-11 19:00:00,2023-09-12 22:00:00,1000000.00,W1_OUT,-10.61,8.33,-11.05,-4.5618,-4.4853,-4.2296,12,,,,,2026-04-24 10:07:44
182,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2024-04-17 00:00:00,,1000000.00,W2_IN,56.97,22.22,-10.08,2.3601,9.5577,13.3529,36,,,,,2026-04-24 10:07:44
182,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2024-04-17 00:00:00,2024-07-19 00:00:00,1000000.00,W2_OUT,7.48,28.57,-8.9,1.3442,3.4498,4.8777,7,,,,,2026-04-24 10:07:44
182,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2025-02-20 22:00:00,,1000000.00,W3_IN,42.92,20.69,-6.05,2.3338,11.6374,21.1878,29,,,,,2026-04-24 10:07:44
182,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2025-02-20 22:00:00,2025-05-24 23:00:00,1000000.00,W3_OUT,12.24,21.43,-8.81,1.8234,4.7659,7.6304,14,,,,,2026-04-24 10:07:44
182,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2025-12-27 23:00:00,,1000000.00,W4_IN,-1.07,15.38,-8.67,0.0028,0.0068,-0.2378,26,,,,,2026-04-24 10:07:44
182,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2025-12-27 23:00:00,2026-03-30 23:00:00,1000000.00,W4_OUT,-15.03,0.0,-15.03,-4.8299,-4.7107,-3.548,11,,,,,2026-04-24 10:07:44
182,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,,,1000000.00,AGG_OUT,18.67,16.98,-11.57,0.3589,1.0985,0.42,53,,,,,2026-04-24 10:07:44
181,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2022-08-05 21:00:00,,1000000.00,W0_IN,20.95,19.05,-3.67,1.5107,6.175,11.5098,21,,,,,2026-04-24 10:06:55
181,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2022-08-05 21:00:00,2022-11-06 19:00:00,1000000.00,W0_OUT,11.74,28.57,-4.62,2.213,7.8771,22.989,7,,,,,2026-04-24 10:06:55
181,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2023-06-11 19:00:00,,1000000.00,W1_IN,-19.65,5.71,-26.49,-2.4873,-4.0494,-1.3008,35,,,,,2026-04-24 10:06:55
181,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2023-06-11 19:00:00,2023-09-12 22:00:00,1000000.00,W1_OUT,-9.19,0.0,-9.19,-5.0262,-4.8932,-4.3468,13,,,,,2026-04-24 10:06:55
