H,a,b,n,목표,손절,미도달,불명,비관,낙관,하한3d,하한1d,하한7d
24,0.5,1.0,432,39.120370370370374,41.898148148148145,0.0,18.98148148148148,-0.718391024900778,-0.43366880267855495,-0.8252981726500881,-0.8299429311655756,-0.8499965482820028
24,0.5,2.0,432,60.18518518518518,24.074074074074073,1.6203703703703702,14.120370370370368,-0.7764507016679819,-0.4234414424087191,-0.9735573990548118,-0.9702149752005483,-0.9363013494155228
24,0.5,3.0,432,66.20370370370371,17.12962962962963,3.2407407407407405,13.425925925925927,-0.9168818260621918,-0.4469744186547811,-1.2050928423261413,-1.1609278329460817,-1.0905267457057295
24,0.5,5.0,432,73.14814814814815,8.796296296296296,5.324074074074074,12.731481481481483,-1.0938006066348418,-0.3935691251533544,-1.6026208991291149,-1.4994841018454284,-1.540654636480525
24,1.0,1.0,432,31.01851851851852,56.25,0.23148148148148145,12.5,-0.683456813577333,-0.4334568135773324,-0.8264064524747634,-0.8017824831276541,-0.8191990524558812
24,1.0,2.0,432,49.30555555555556,38.425925925925924,3.4722222222222223,8.796296296296296,-0.7712776558732012,-0.5073887669843107,-0.9588762833914166,-0.9441127642009343,-0.9436838168450765
24,1.0,3.0,432,58.333333333333336,28.240740740740737,5.555555555555555,7.87037037037037,-0.8374829564290129,-0.522668141614197,-1.1136221889342879,-1.0778839691344446,-1.0547551188074067
24,1.0,5.0,432,65.04629629629629,16.435185185185187,11.574074074074074,6.944444444444445,-1.0233253655194285,-0.6066586988527608,-1.4902643856636821,-1.4314807389418036,-1.4578972522636338
24,2.0,1.0,432,25.925925925925924,65.74074074074075,0.6944444444444444,7.638888888888889,-0.5192394181611724,-0.2900727514945028,-0.767268748738874,-0.7102482098066367,-0.7916715454703659
24,2.0,2.0,432,39.58333333333333,50.92592592592593,5.555555555555555,3.935185185185185,-0.619891215627767,-0.46248380822035745,-0.9562277105001599,-0.8760534734130061,-0.885632187982948
24,2.0,3.0,432,50.92592592592593,37.03703703703704,9.25925925925926,2.7777777777777777,-0.5274556391793824,-0.3885667502904931,-0.8626665534345268,-0.8511647904042478,-0.8524126036878105
24,2.0,5.0,432,56.25,24.537037037037038,17.12962962962963,2.083333333333333,-0.7780555511922844,-0.6322222178589504,-1.2052760859963074,-1.241021342070076,-1.1938864063510675
24,3.0,1.0,432,19.675925925925927,69.9074074074074,2.5462962962962963,7.87037037037037,-0.4830933010699077,-0.16827848625508984,-0.7320227653777747,-0.6632880354598876,-0.7464267676363054
24,3.0,2.0,432,31.712962962962965,56.94444444444444,7.638888888888889,3.7037037037037033,-0.5682278620546987,-0.38304267686951093,-0.9463420514906972,-0.8166033647029981,-0.7430713591093128
24,3.0,3.0,432,43.75,42.592592592592595,12.5,1.1574074074074074,-0.3598711484670681,-0.29042670402262255,-0.7568095063429385,-0.7137282013475694,-0.5684384841757382
24,3.0,5.0,432,49.53703703703704,28.47222222222222,21.296296296296298,0.6944444444444444,-0.5606241212217076,-0.5050685656661515,-1.0316286760008797,-1.0211496745787703,-0.8451390625528235
24,5.0,1.0,432,14.120370370370368,73.61111111111111,4.861111111111112,7.4074074074074066,-0.3796821088333188,0.0647623356111272,-0.7162528056252939,-0.6087085870914083,-0.5996728657876236
24,5.0,2.0,432,22.916666666666664,61.80555555555556,12.037037037037036,3.2407407407407405,-0.41503037564724415,-0.1881785237953901,-0.9446820749521845,-0.7610167407861669,-0.6479657320255761
24,5.0,3.0,432,30.555555555555557,47.91666666666667,20.37037037037037,1.1574074074074074,-0.2574658803037214,-0.16487328771112864,-0.8328400093126662,-0.6700117140276552,-0.5991727870229278
24,5.0,5.0,432,34.49074074074074,34.49074074074074,30.324074074074076,0.6944444444444444,-0.5857348325026501,-0.5162903880582052,-1.2363222573205062,-1.0833473450225921,-0.9569502536999867
48,0.5,1.0,432,39.120370370370374,41.898148148148145,0.0,18.98148148148148,-0.718391024900778,-0.43366880267855495,-0.829150527002458,-0.837878780502466,-0.8440306588031276
48,0.5,2.0,432,61.57407407407407,24.305555555555554,0.0,14.120370370370368,-0.762530302490874,-0.40952104323161054,-0.9833610028093924,-0.9540547322164059,-0.9264867971729189
48,0.5,3.0,432,68.28703703703704,18.055555555555554,0.23148148148148145,13.425925925925927,-0.906063279270793,-0.4361558718633808,-1.2318285045336463,-1.157363965912138,-1.1034796915132818
48,0.5,5.0,432,75.69444444444444,9.722222222222223,1.8518518518518516,12.731481481481483,-1.0902915266308353,-0.3900600451493483,-1.6519526153214843,-1.5177808860042037,-1.5550941675873144
48,1.0,1.0,432,31.01851851851852,56.481481481481474,0.0,12.5,-0.684993364012464,-0.43499336401246347,-0.834211520508559,-0.8023308966633177,-0.8162414549138061
48,1.0,2.0,432,51.620370370370374,39.58333333333333,0.0,8.796296296296296,-0.7536505611731158,-0.4897616722842244,-0.9769852683245672,-0.9363144035086404,-0.9711489815369324
48,1.0,3.0,432,61.342592592592595,29.166666666666668,1.6203703703703702,7.87037037037037,-0.8120691690417191,-0.4972543542269029,-1.1281434532389918,-1.0675210770400865,-1.077004613300294
48,1.0,5.0,432,68.51851851851852,18.055555555555554,6.481481481481481,6.944444444444445,-0.9737227963014786,-0.5570561296348098,-1.5254300751554972,-1.4272158062488187,-1.4593061845761208
48,2.0,1.0,432,26.15740740740741,65.97222222222221,0.23148148148148145,7.638888888888889,-0.517772430277459,-0.2886057636107897,-0.7655654751333331,-0.7123657079706082,-0.7853736775862709
48,2.0,2.0,432,41.898148148148145,53.24074074074075,0.9259259259259258,3.935185185185185,-0.6002264281120104,-0.4428190207046016,-0.9862687204206088,-0.8848774510694372,-0.9147128449310434
48,2.0,3.0,432,54.629629629629626,40.0462962962963,2.5462962962962963,2.7777777777777777,-0.5001291480126705,-0.36124025912378127,-0.9125639623433704,-0.8783064743657758,-0.8767816174039202
48,2.0,5.0,432,61.57407407407407,26.851851851851855,9.49074074074074,2.083333333333333,-0.6562809082796653,-0.5104475749463315,-1.2155882177686428,-1.1473860692698632,-1.1627157955814191
48,3.0,1.0,432,19.90740740740741,71.75925925925925,0.4629629629629629,7.87037037037037,-0.5021745694383819,-0.18735975462356422,-0.7536150091204926,-0.6803686682918347,-0.7447573670219158
48,3.0,2.0,432,33.33333333333333,60.879629629629626,2.083333333333333,3.7037037037037033,-0.5702596872960508,-0.3850745021108632,-0.9839272086154016,-0.832595236214984,-0.7760537965905138
48,3.0,3.0,432,46.2962962962963,47.4537037037037,5.092592592592593,1.1574074074074074,-0.36180329309893416,-0.29235884865448836,-0.8075524271132712,-0.7146704926171951,-0.6055762140910396
48,3.0,5.0,432,53.93518518518518,31.712962962962965,13.657407407407407,0.6944444444444444,-0.45118693987629405,-0.3956313843207383,-1.0381750685176154,-0.9150958936500697,-0.8176327532059906
48,5.0,1.0,432,14.120370370370368,77.31481481481481,1.1574074074074074,7.4074074074074066,-0.4244404849333427,0.020003959511103824,-0.795038586417086,-0.6721564793677353,-0.6252993811800359
48,5.0,2.0,432,24.76851851851852,68.05555555555556,3.935185185185185,3.2407407407407405,-0.44010689235993683,-0.21325504050808267,-1.008316540094492,-0.8182796209599639,-0.6675589583854926
48,5.0,3.0,432,34.25925925925926,55.32407407407407,9.25925925925926,1.1574074074074074,-0.24029733675487283,-0.1477047441622802,-0.8363856222902443,-0.710018863670533,-0.5902347569133578
48,5.0,5.0,432,39.120370370370374,39.58333333333333,20.60185185185185,0.6944444444444444,-0.45550497688412295,-0.38606053243967825,-1.2800274311618252,-1.0971503462939756,-0.8761083649812086
72,0.5,1.0,433,39.260969976905315,41.801385681293304,0.0,18.937644341801384,-0.716270029462208,-0.4322053643351865,-0.8275699861304758,-0.8377116389252082,-0.8470051051245041
72,0.5,2.0,433,61.662817551963045,24.249422632794456,0.0,14.087759815242496,-0.7603073687668765,-0.40811337338580994,-0.9720525885559677,-0.9585445619312024,-0.9366019049389273
72,0.5,3.0,433,68.59122401847574,18.013856812933028,0.0,13.394919168591224,-0.9011333190229293,-0.43231114812223176,-1.209646083868959,-1.153062499883292,-1.1236352872716537
72,0.5,5.0,433,76.6743648960739,10.161662817551962,0.4618937644341801,12.702078521939955,-1.0676125212183565,-0.3689982025116532,-1.6019778443269914,-1.4820458268664647,-1.5522909200426955
