signal,h,status,m,lo,hi,rej_diff,rej_abs
S1,4,통과,0.0001952174215818129,-0.0010435283983110237,0.0014339632414746496,0.048,0.0
S1,12,통과,0.0010549139661995143,-0.0009229183435190045,0.003032746275918033,0.044,0.0
S1,24,통과,0.006318452587247606,0.00373159785812483,0.008905307316370382,0.06,0.0
S2,4,통과,0.0006839449701099294,-0.0002843758488414788,0.0016522657890613375,0.064,0.0
S2,12,통과,-0.0006502315727863831,-0.0029280869817535447,0.0016276238361807782,0.04,0.0
S2,24,통과,0.002270313171839873,-0.0019658233732091058,0.006506449716888851,0.052,0.0
S3,4,통과,-0.0022363518355041283,-0.004518857817685613,4.61541466773561e-05,0.036,0.0
S3,12,통과,0.0013837200056852719,-0.0030085912769013024,0.0057760312882718465,0.058,0.0
S3,24,통과,-0.0023816296463470845,-0.00936421340845585,0.004600954115761681,0.046,0.0
S4,4,통과,-0.0005977990267440911,-0.0020104386603331773,0.0008148406068449951,0.042,0.0
S4,12,통과,-0.0006882312191505374,-0.003239733093832413,0.0018632706555313384,0.048,0.0
S4,24,통과,0.0033481919569224167,-0.00032920864580132875,0.007025592559646162,0.054,0.0
S5,4,통과,-0.0013366901580216925,-0.0027092568460290317,3.5876529985646955e-05,0.064,0.0
S5,12,통과,-0.00010895771029595707,-0.0022927946548752798,0.0020748792342833652,0.046,0.0
S5,24,통과,0.002630516613031592,-0.0003835609665786845,0.005644594192641869,0.046,0.0
