variant,strategy,h,n_coins,n_agree,n_disagree,common,excluded,theta,ci_lo,ci_hi,mean_agree,p,invalid,verdict,p_holm,holm_sig
B,MTF_CONFIRMED,4,10,810,268,"ADA,ARB,BTC,DOGE,ETH,LINK,SOL,STX,XLM,XRP","AVAX,ONDO,SUI",0.26332887483962214,-0.06160601245510172,0.5725218153683177,-0.13166866810013123,0.047976011994003,0.0,,0.28785607196401797,False
B,MTF_CONFIRMED,12,9,699,237,"ADA,ARB,BTC,DOGE,ETH,SOL,STX,XLM,XRP","AVAX,LINK,ONDO,SUI",0.14002750734031455,-0.4276109266450311,0.7235420003902372,-0.09443321997214868,0.29685157421289354,0.0,,1.0,False
B,MTF_CONFIRMED,24,8,566,205,"ADA,ARB,BTC,DOGE,ETH,STX,XLM,XRP","AVAX,LINK,ONDO,SOL,SUI",0.36425237838015057,-0.7346244852956755,1.4241243563713701,0.318421782447018,0.2623688155922039,0.0,,1.0,False
B,MTF_BTC,4,7,583,193,"ADA,ARB,BTC,DOGE,ETH,STX,XLM","AVAX,LINK,ONDO,SOL,SUI,XRP",0.1297720554352446,-0.18048597109281317,0.44889988495283845,-0.11860699531136228,0.22688655672163918,0.0,,1.0,False
B,MTF_BTC,12,6,460,156,"ADA,BTC,DOGE,ETH,STX,XLM","ARB,AVAX,LINK,ONDO,SOL,SUI,XRP",0.20583430003011094,-0.3619404715895076,0.7942534569870083,0.09228599587977449,0.23288355822088955,0.0,,1.0,False
B,MTF_BTC,24,6,434,149,"ADA,BTC,DOGE,ETH,STX,XLM","ARB,AVAX,LINK,ONDO,SOL,SUI,XRP",1.1543749133324746,0.3413135114725636,2.040309430701629,0.8196975599182904,0.004497751124437781,0.0,,0.04047976011994003,True
B,MTF_MOMENTUM,4,13,1426,538,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,0.20124641545132854,-0.007890949470740715,0.42523201063640503,-0.1559641965395004,0.04097951024487756,0.0,,0.2868565717141429,False
B,MTF_MOMENTUM,12,13,1331,504,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,0.0056584484421068676,-0.39951782320983975,0.44585780065822445,-0.12135075299314022,0.4862568715642179,0.0,,1.0,False
B,MTF_MOMENTUM,24,13,1177,467,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,0.6228398259796545,-0.04586910966959772,1.2815954771733806,0.3257320996811828,0.033483258370814596,0.0,,0.26786606696651677,False
A,MTF_CONFIRMED,4,11,852,324,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,SOL,STX,XLM,XRP","ONDO,SUI",0.2646930814987808,-0.06431150932569019,0.5674843089795001,-0.12449916528846364,0.04847576211894053,0.0,,,
A,MTF_CONFIRMED,12,10,743,288,"ADA,ARB,AVAX,BTC,DOGE,ETH,SOL,STX,XLM,XRP","LINK,ONDO,SUI",0.15433026706552616,-0.41189219400694826,0.7377654123913847,-0.07181233528330835,0.2978510744627686,0.0,,,
A,MTF_CONFIRMED,24,10,687,272,"ADA,ARB,AVAX,BTC,DOGE,ETH,SOL,STX,XLM,XRP","LINK,ONDO,SUI",0.34328053517968854,-0.6236406164877287,1.2836156070176188,0.3768344578320702,0.23488255872063968,0.0,,,
A,MTF_BTC,4,9,657,298,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,STX,XLM","ONDO,SOL,SUI,XRP",0.19075590780954196,-0.1337885922284102,0.5064965299895929,-0.04954898388006794,0.11944027986006997,0.0,,,
A,MTF_BTC,12,9,594,279,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,STX,XLM","ONDO,SOL,SUI,XRP",0.1774432780710406,-0.34698500104288404,0.6811164554554853,0.09744086202336902,0.24687656171914044,0.0,,,
A,MTF_BTC,24,9,561,269,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,STX,XLM","ONDO,SOL,SUI,XRP",0.6391833721082155,-0.19398366134805622,1.4362896020896876,0.5424071753274633,0.05547226386806597,0.0,,,
A,MTF_MOMENTUM,4,13,1366,598,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,0.18243956134110859,-0.02976464035761901,0.40708382484953254,-0.15873672055499208,0.0559720139930035,0.0,,,
A,MTF_MOMENTUM,12,13,1273,561,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,-0.01622616843122919,-0.45066749398565453,0.4225443890941452,-0.1328708358196842,0.5212393803098451,0.0,,,
A,MTF_MOMENTUM,24,13,1126,516,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,0.6117261573836591,-0.06765162938925942,1.3020474400512658,0.3373945178010022,0.04597701149425287,0.0,,,
